match_id,venue,innings,ball,batting_team,bowling_team,runs_off_bat,total_run,runs_6_overs,wickets_6_overs
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.4,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.5,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,2.6,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.1,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.2,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.3,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.4,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.5,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.6,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.1,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.2,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.3,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.4,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.5,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,4.6,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.1,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.2,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.3,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.4,Chennai Super Kings,Mumbai Indians,4,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.5,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.6,Chennai Super Kings,Mumbai Indians,0,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.7,Chennai Super Kings,Mumbai Indians,1,190,46,2
335989,"MA Chidambaram Stadium, Chepauk, Chennai",1,5.8,Chennai Super Kings,Mumbai Indians,0,190,46,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.1,Kolkata Knight Riders,Chennai Super Kings,2,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.2,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.3,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.4,Kolkata Knight Riders,Chennai Super Kings,1,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.5,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,0.6,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.1,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.2,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.3,Kolkata Knight Riders,Chennai Super Kings,0,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.4,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.5,Kolkata Knight Riders,Chennai Super Kings,6,129,55,2
335993,"MA Chidambaram Stadium, Chepauk, Chennai",1,1.6,Kolkata Knight Riders,Chennai Super Kings,4,129,55,2
